subject_id,stage,probe_index,probe_time,video_time_sec,label,target,interval_sec,sample_count,sample_rate_hz,gaze_x_mean,gaze_x_std,gaze_x_min,gaze_x_q25,gaze_x_median,gaze_x_q75,gaze_x_max,gaze_x_range,gaze_y_mean,gaze_y_std,gaze_y_min,gaze_y_q25,gaze_y_median,gaze_y_q75,gaze_y_max,gaze_y_range,event_duration_ms_mean,event_duration_ms_std,event_duration_ms_min,event_duration_ms_q25,event_duration_ms_median,event_duration_ms_q75,event_duration_ms_max,event_duration_ms_range,saccade_angle_mean,saccade_angle_std,saccade_angle_min,saccade_angle_q25,saccade_angle_median,saccade_angle_q75,saccade_angle_max,saccade_angle_range,valid_gaze_ratio,gaze_step_px_mean,gaze_step_px_std,gaze_step_px_min,gaze_step_px_q25,gaze_step_px_median,gaze_step_px_q75,gaze_step_px_max,gaze_step_px_range,gaze_path_px,saccade_sample_ratio,saccade_count,saccade_rate_per_min,fixation_count,fixation_rate_per_min,fixation_duration_ms_mean,fixation_duration_ms_std,fixation_duration_ms_min,fixation_duration_ms_q25,fixation_duration_ms_median,fixation_duration_ms_q75,fixation_duration_ms_max,fixation_duration_ms_range
Anon01,2,0,2017-04-12T09:28:47.772000+00:00,38.540809,focused,0,39.023,98.0,2.5113394664684927,1220.8163265306123,1362.6608749581121,-3200.0,426.0,1326.0,2145.5,4144.0,7344.0,634.469387755102,446.6441811700837,-337.0,353.0,623.5,817.5,2146.0,2483.0,376.3163260051185,429.610120062882,0.0,159.00003910064652,195.99986076355,219.9999690055845,1957.00001716614,1957.00001716614,8.717177784602198,34.45303887683602,-70.7217519369036,-9.710901488991443,9.69187710140752,28.403986203119224,88.905309408147,159.6270613450506,1.0,1601.8172036053952,1197.983467541115,0.0,713.5271543536378,1328.7987055984063,2248.51439844178,6075.188227536658,6075.188227536658,155376.26874972333,0.9795918367346939,2.0,3.0751095507777464,97.0,149.14281321272068,378.67010254220895,431.1897956310699,0.0,162.000179290771,195.99986076355,220.999956130981,1957.00001716614,1957.00001716614
Anon01,2,1,2017-04-12T09:29:34.224000+00:00,85.0593229256134,focused,0,46.452,118.0,2.5402566089727032,751.4915254237288,1389.7482075673481,-3181.0,113.75,716.5,1714.75,3509.0,6690.0,539.7542372881356,406.07121226602345,-573.0,297.0,589.0,812.0,1858.0,2431.0,407.10169379994045,409.6675471984319,26.9999504089355,171.99999094009374,201.0000944137575,388.999938964844,1259.0000629425,1232.0001125335646,7.609838847908449,35.21246622943669,-84.0620926099539,-11.97560759626675,7.524512364526785,24.972421771242676,84.7150406171092,168.77713322706308,1.0,1674.3968343350543,1083.2522147805046,0.0,781.0409720366788,1450.0610331982582,2319.804302091019,4645.489102344338,4645.489102344338,195904.42961720136,0.9830508474576272,2.0,2.5833118057349522,116.0,149.83208473262724,407.4137930212352,413.17711680459337,26.9999504089355,171.749949455261,200.500011444092,546.499967575073,1259.0000629425,1232.0001125335646
Anon01,2,2,2017-04-12T09:30:35.276000+00:00,146.13896398283387,focused,0,61.052,149.0,2.4405424883705695,913.744966442953,1297.5153858697097,-3195.0,325.0,806.0,1810.0,6043.0,9238.0,572.771812080537,429.58258373963554,-724.0,256.0,619.0,812.0,1645.0,2369.0,418.4362376296281,493.87391376933795,32.9999923706055,180.000066757202,200.999975204468,231.99987411499,2959.00011062622,2926.0001182556143,-0.47797379415338365,33.25705324978829,-86.7247642012772,-18.139612368975,-1.49271181370426,21.0219231652333,79.8343051204573,166.5590693217345,1.0,1535.056515817747,1033.7291551554752,0.0,872.4747084913326,1325.3395791267988,2105.3238432824965,7301.887153332349,7301.887153332349,227188.36434102655,0.959731543624161,4.0,3.931075149053266,143.0,140.53593657865426,416.2237744231324,502.9962752531582,32.9999923706055,179.499864578247,198.000192642212,223.999977111816,2959.00011062622,2926.0001182556143
Anon01,2,3,2017-04-12T09:31:36.727000+00:00,206.331911,focused,0,61.451,151.0,2.457242355698036,1065.2119205298013,1287.7198474127883,-2438.0,334.0,960.0,1853.5,5569.0,8007.0,565.5298013245033,463.0657528861179,-697.0,273.5,619.0,799.5,2723.0,3420.0,402.6953668783829,445.03303230487245,32.0000648498535,177.000045776367,198.999881744385,234.5000505447385,2134.0000629425,2101.9999980926464,2.9430673078785703,35.22064689595074,-84.3470050130029,-15.4164550324095,3.57446190271091,22.90606630058975,89.217319459407,173.5643244724099,1.0,1636.488822839104,1066.360467222982,67.20863039818622,869.3393640041415,1394.5138165158364,2031.7342309841101,6316.988918780846,6249.78028838266,245473.3234258656,0.9602649006622517,5.0,4.881938455029211,145.0,141.57621519584708,406.6896553697255,453.1529801929404,32.0000648498535,174.999952316284,198.999881744385,226.000070571899,2134.0000629425,2101.9999980926464
Anon01,2,4,2017-04-12T09:32:33.103000+00:00,263.93422694659426,focused,0,56.376,146.0,2.589754505463318,760.4589041095891,1307.5823718871527,-3648.0,24.0,697.0,1739.0,4514.0,8162.0,501.67123287671234,455.13504107111856,-674.0,214.0,512.5,752.0,1945.0,2619.0,498.36985705649994,637.2787763797826,34.0001583099365,175.24999380111677,198.49991798400902,1017.499923706055,2892.99988746643,2858.9997291564937,-1.835200247484177,36.63429243379985,-88.5809067777463,-19.141762289267277,-2.1105892480751347,20.509367397335225,80.6279072914209,169.2088140691672,1.0,1573.6662472859991,1032.1632409390984,0.0,815.1392519073045,1404.35928451376,1968.1717404738845,6392.655942564092,6392.655942564092,228181.6058564699,0.952054794520548,3.0,3.1928480204342273,139.0,147.93529161345253,401.9784155509453,451.34250998038385,34.0001583099365,173.500061035156,197.000026702881,225.0000238418575,2892.99988746643,2858.9997291564937
Anon01,2,5,2017-04-12T09:33:34.025000+00:00,323.57275,not_focused,1,60.922,139.0,2.281605987984636,771.5467625899281,1290.6673095450928,-4434.0,72.0,783.0,1520.0,4694.0,9128.0,523.1798561151079,380.86609463204655,-407.0,261.0,545.0,774.5,1823.0,2230.0,435.0287708447133,501.72879563102333,32.0000648498535,182.000160217285,202.000141143799,361.999988555908,2134.0000629425,2101.9999980926464,3.8067834932512907,32.855911192344315,-86.7795921393894,-14.270253624755249,4.39484367275341,15.909538002332699,89.2803807076008,176.0599728469902,1.0,1545.5248996611258,1121.5610958721084,108.90362712049586,838.0899195004127,1332.6155690558398,1867.3952063791428,6864.470627805177,6755.567000684681,213282.43615323535,0.9640287769784173,4.0,3.93946357637635,134.0,131.97202980860774,438.2537283114532,509.42094353176657,32.0000648498535,182.000160217285,201.99990272522,228.50006818771325,2134.0000629425,2101.9999980926464
Anon01,2,6,2017-04-12T09:34:11.537000+00:00,362.089951,focused,0,37.512,89.0,2.3725741096182555,943.0898876404494,1429.0301310734205,-4216.0,185.0,1018.0,1790.0,4386.0,8602.0,550.3258426966293,434.0427094213402,-489.0,299.0,559.0,769.0,1667.0,2156.0,413.79775358050074,516.6247969020328,32.9999923706055,174.999952316284,197.999954223633,226.999998092651,2940.00005722046,2907.0000648498544,-4.723078790853147,37.84025058428551,-81.7028550301631,-30.1065270411584,-0.454718861693143,13.8568833527276,84.3964616323757,166.0993166625388,1.0,1621.1723608339023,1049.9717665533399,137.55726080436466,793.8625562799873,1365.93652973089,2296.1330409469097,4482.656801496184,4345.099540691819,142663.1677533834,0.9550561797752809,3.0,4.798464491362764,85.0,135.95649392194497,414.941179051119,526.7665785908852,32.9999923706055,174.999952316284,197.999954223633,221.999883651733,2940.00005722046,2907.0000648498544
Anon01,1,7,2017-04-12T09:40:29.560000+00:00,41.821216,focused,0,42.453,101.0,2.379101594704732,1025.4653465346535,1125.948608330379,-2471.0,299.0,1064.0,1674.0,5224.0,7695.0,802.039603960396,439.14324600377745,-228.0,515.0,854.0,1090.0,1892.0,2120.0,423.43563608603887,481.0481801397987,0.0,177.999973297119,197.999954223633,384.000062942505,2090.99984169006,2090.99984169006,-0.4399243595657301,36.247753883488706,-87.7275502672171,-27.572300538972,2.55847364545644,21.3179122754616,83.6598082540901,171.3873585213072,1.0,1415.3706971061163,805.4832337009553,81.49846624323675,725.9881447610067,1314.8203828401406,1891.9196765931592,4445.748081032032,4364.249614788795,141537.06971061163,0.9405940594059405,6.0,8.479966080135679,95.0,134.26612960214825,415.8420989387913,464.10913162817667,0.0,178.0000925064085,197.999954223633,300.49991607666,2090.99984169006,2090.99984169006
Anon01,1,8,2017-04-12T09:41:28.162000+00:00,100.62706982833862,focused,0,58.602,211.0,3.6005597078598,1363.39336492891,872.7733601313848,-1733.0,950.5,1425.0,1844.5,4879.0,6612.0,978.7535545023696,398.66424591475203,-358.0,795.0,1051.0,1263.5,1814.0,2172.0,468.161124188753,425.7518983255217,43.9999103546143,192.500114440918,207.99994468689,615.999937057495,2101.99999809265,2058.0000877380357,-3.936142837221359,36.10003108332075,-85.2243541654073,-27.20396453090045,-0.739963631795699,20.4920403857898,87.4482895188375,172.6726436842448,1.0,909.7372229368111,747.5600784669444,93.5200513259055,450.30947759296856,704.3441611053204,1128.5761093583712,5582.434773465786,5488.914722139881,191044.81681673034,0.7393364928909952,20.0,20.47711682195147,156.0,159.72151121122147,351.0384590197832,362.18391807556924,43.9999103546143,186.750054359436,201.499938964844,217.24998950958275,2101.99999809265,2058.0000877380357
Anon01,1,9,2017-04-12T09:42:27.429000+00:00,159.88924984931947,focused,0,59.267,296.0,4.994347613343007,1538.7736486486488,481.6224544494687,266.0,1204.5,1503.0,1875.25,3194.0,2928.0,1154.5067567567567,221.77249715617762,253.0,1028.0,1165.0,1296.75,1983.0,1730.0,600.1013630145301,560.0206147890796,163.999795913696,199.74988698959376,238.4999990463255,778.000116348267,2190.99998474121,2027.000188827514,-4.720658808561651,39.362930778988606,-88.622016753695,-25.5940292459988,-5.06178361822777,21.8265254428858,88.9128343459183,177.5348510996133,1.0,617.8693195543925,376.2955593960533,31.064449134018133,333.5165481762217,565.7464096218375,828.2108544006979,1941.9250757946352,1910.860626660617,182271.44926854578,0.5844594594594594,35.0,35.43287158114971,173.0,175.13962238682572,305.2658952040479,300.3845607698207,163.999795913696,193.000078201294,202.000141143799,216.000080108643,2190.99998474121,2027.000188827514
